Name,Material,Spec,Quantity,Unit,Remarks,Time
,型材,PF06-28*33-3.02米,35,根,,2020-04-03 14:10:08
,型材,PF01-18*33-3.02米,885,根,,2020-04-03 14:09:15
,木皮,30#白藤904S (8cm ),1024,米,,2020-04-03 14:07:09
,木皮,26#楸木188-1C (16cm ),280,米,,2020-04-03 14:01:11
,木皮,26#楸木188-1C (5.5cm ),1220,米,,2020-04-03 13:58:50
,木皮,26#楸木188-1C (4cm ),275,米,,2020-04-03 13:57:23
,木皮,25#天然柚木(5188S 30cm ),510,米,,2020-04-03 13:54:14
,木皮,25#天然柚木(5188S 30cm ),510,米,,2020-04-03 13:54:12
,木皮,25#天然柚木(5188S 30cm ),1565,米,,2020-04-03 13:53:32
,木皮,25#天然柚木（5188S 9.2cm ）,1530,米,,2020-04-03 13:52:26
,木皮,25#天然柚木（5188S 9.2cm ）,1530,米,,2020-04-03 13:52:21
,木皮,24#黑胡桃（1001S 9.2cm）,1530,米,,2020-04-03 13:51:13
,木皮,22#银橡7S (8cm ),2084,米,,2020-04-03 13:41:31
,木皮,22#银橡7S（30cm）,1200,米,,2020-04-03 13:37:24
,木皮,20#黑木(5.5cm ),335,米,,2020-04-03 13:35:29
,木皮,19#榆木12-2S (8cm ),261,米,,2020-04-03 13:31:34
,木皮,18#橡木108DS（29cm ),3774,米,,2020-04-03 13:28:00
,木皮,18#橡木108DS(16cm ),4060,米,,2020-04-03 13:25:22
,木皮,17#雀巢52N（30cm),250,米,,2020-04-03 13:22:30
,木皮,14#银梨1Q （30cm ）,520,米,,2020-04-03 13:18:51
,木皮,14#银梨1Q （16cm ）,2010,米,,2020-04-03 13:17:42
,木皮,14#银梨1Q （14cm ）,2010,米,,2020-04-03 13:17:10
,木皮,14#银梨1Q （8cm ）,1167,米,,2020-04-03 13:16:16
,木皮,14#银梨1Q （30cm ）,2595,米,,2020-04-03 13:13:33
,木皮,08#柚木3347Q（9.2cm),300,米,,2020-04-03 13:07:23
,木皮,08#柚木3347Q（16cm),385,米,,2020-04-03 13:05:01
,木皮,05#麦格利38Q ( 30cm),1025,米,,2020-04-03 13:00:53
,木皮,04#黑杏AE 03S (9.2cm ),2477,米,,2020-04-03 11:15:50
,木皮,02#橡木609S ( 4cm),288,米,,2020-04-03 11:12:04
,木皮,02#橡木609S ( 9.2cm),2806,米,,2020-04-03 11:10:26
,木皮,02#橡木609S ( 8cm),600,米,,2020-04-03 10:48:53
,木皮,01#雪花木（7cm),4200,米,,2020-04-03 10:45:20
,木皮,01#雪花木（30cm),1190,米,,2020-04-03 10:43:32
,木皮,01#雪花木（28cm),2238,米,,2020-04-03 10:42:38
,铝合金,ZA64 (X240710)-铬化（3.07米）,249,根,,2020-04-03 10:35:05
,铝合金,ZA44 (H220910)-铬化（3.07米）,336,根,,2020-04-03 10:33:31
,铝合金,ZA65 (P450637)-铬化（3.07米）,125,根,,2020-04-03 10:32:23
,铝合金,ZA45 (H490737)-铬化（3.07米）,206,根,,2020-04-03 10:31:09
,铝合金,ZA58 (P400622)-铬化（3.07米）,300,根,,2020-04-03 10:29:51
,铝合金,ZA65 (P450637)-铬化（3.07米）,820,根,,2020-04-03 10:28:42
,铝合金,ZA64 (X240710)-铬化（3.07米）,1014,根,,2020-04-03 10:27:47
,铝合金,508-铬化（3.07米）,900,根,,2020-04-03 10:25:22
,铝合金,ZA56 (X400922)-铬化（3.07米）,1093,根,,2020-04-03 10:24:20
,铝合金,ZA44 (H220910)-铬化（3.07米）,1000,根,,2020-04-03 10:22:36
,铝合金,350-铬化（3.07米）,1710,根,,2020-04-03 10:21:17
,铝合金,ZA45 (H490737)-铬化（3.07米）,960,根,,2020-04-03 10:19:26
,铝合金,ZA58 (P400622)-铬化（3.07米）,1054,根,,2020-04-03 10:17:53
,铝合金,508-喷砂三酸拉丝亮金（3.05米）,314,根,,2020-04-03 09:51:03
,铝合金,508-喷砂拉丝亚黑（3.05米）,1650,根,,2020-04-03 09:50:38
,铝合金,508-黑砂纹（3.07米）,420,根,,2020-04-03 09:49:50
,铝合金,320-白砂纹（3.07米）,146,根,,2020-04-03 09:41:21
,铝合金,320-喷砂拉丝亚银（3.05米）,126,根,,2020-04-03 09:40:48
,铝合金,320-喷砂三酸拉丝亮金（3.05米）,2664,根,,2020-04-03 09:39:33
,铝合金,ZA63-喷砂拉丝亮金（2.44米）,192,根,,2020-04-03 09:38:26
,铝合金,ZA32-喷砂拉丝亚黑（3.05米）,78,根,,2020-04-03 09:36:30
,铝合金,ZA32-喷砂拉丝亮金（3.05米）,64,根,,2020-04-03 09:36:04
,铝合金,ZA33-喷砂拉丝亮金（3.05米）,1649,根,,2020-04-03 09:35:32
,铝合金,ZA33-喷砂拉丝亚黑（3.05米）,456,根,,2020-04-03 09:34:49
,铝合金,350-红砂纹（3.07米）,187,根,,2020-04-03 09:17:35
,铝合金,350-棕色砂纹（3.07米）,95,根,,2020-04-03 09:17:09
,铝合金,350-红砂纹（3.07米）,187,根,,2020-03-29 02:01:18
,铝合金,320-喷砂三酸拉丝亮银（3.05米）,100,根,,2020-03-26 14:00:12
,铝合金,350-红砂纹（3.07米）,187,根,,2020-03-26 13:48:06
,铝合金,350-棕色砂纹（3.07米）,95,根,,2020-03-26 13:40:40
,铝合金,350-橙色砂纹（3.07米）,2,根,,2020-03-26 13:39:16
,铝合金,350-橙色砂纹（3.07米）,95,根,,2020-03-26 13:36:31
,铝合金,350-棕色砂纹（3.07米）,95,根,,2020-03-26 13:34:41
,铝合金,350-棕色砂纹（3.07米）,95,根,,2020-03-26 13:31:39
,铝合金,350-红砂纹（3.07米）,187,根,,2020-03-26 13:26:29
,铝合金,350-棕色砂纹（3.07米）,95,根,,2020-03-26 13:26:02
,铝合金,350-喷砂三酸拉丝亮金（4.35）,300,根,,2020-03-26 13:23:24
,铝合金,ZA100,10,根,,2020-01-26 11:06:07
,铝合金,ZA100,15,根,,2020-01-26 11:05:04
,铝合金,ZA100,15,根,,2020-01-26 11:00:35
,型材,LF01-25*45-3.02米,100,根,,2020-01-26 10:35:05
,型材,LF01-25*45-3.02米,15,根,,2020-01-26 10:32:54
,木皮,28#白橡28S9.2cm）,290,米,米,2019-12-15 00:45:21
,木皮,27#天然白木(7.5cm ),29951,米,米,2019-12-15 00:44:34
,型材,PF10-40（宽）*22（高）-3米,1121,根,支,2019-12-15 00:25:30
,型材,PF07-28*48-3米,930,根,支,2019-12-15 00:25:05
,型材,PF23-18（面宽）*40（高度）-3米,130,根,支,2019-12-15 00:21:59
,型材,PF23-18（面宽）*40（高度）-3米,367,根,支,2019-12-15 00:20:44
,型材,LF02-30*50-3米,467,根,支,2019-12-15 00:19:08
,型材,PF01-18*33-3米,3450,根,支,2019-12-13 00:50:32
,方料,21*35.5*3020,4544,根,支,2019-12-13 00:49:57
,木皮,08#橡木3347Q(31cm),709,米,米,2019-12-12 10:18:56
,木皮,8#柚木3347Q（30cm),709,米,米,2019-12-12 10:17:33
,铝合金,320-烙化，3.07米,1160,根,支,2019-12-10 07:14:34
,铝合金,350-烙化，3.06米,1732,根,支,2019-12-10 07:11:31
,铝合金,320-喷砂拉丝亚黑（6.2米）,77,根,支,2019-12-08 01:36:58
,铝合金,350-喷砂拉丝亚黑（6.2米）,1860,根,支,2019-12-08 01:36:27
,铝合金,320-喷砂拉丝亚银（6.2米）,23,根,支,2019-12-07 05:15:18
,铝合金,350-喷砂拉丝亚黑（6.2米）,540,根,支,2019-12-07 05:13:34
,铝合金,350-喷砂拉丝亚黑（6.2米）,235,根,支,2019-12-07 04:18:55
,铝合金,350-喷砂拉丝亚黑（6.2米）,549,根,支,2019-12-05 02:02:46
,铝合金,508-喷砂拉丝亚黑（6.2米）,273,根,支,2019-12-05 02:02:13
,木皮,26#楸木188-1C (8cm ),1000,米,米,2019-12-04 02:54:09
,木皮,14#银梨1Q（5.5CM）,300,米,米,2019-12-04 02:52:24
,木皮,14#银梨1Q （8cm ）,2139,米,米,2019-12-04 02:50:25
,木皮,02#橡木609S (9.2cm ),3084,米,米,2019-12-04 02:49:52
,木皮,02#橡木609S(8cm),3000,米,米,2019-12-04 02:49:15
,木皮,18#橡木108DS(9.2cm ),3111,米,米,2019-12-04 02:48:45
,木皮,18#橡木108DS(8cm ),3000,米,米,2019-12-04 02:48:18
,木皮,19#榆木12-2S (31cm ),2285,米,米,2019-12-04 02:47:43
,木皮,26#楸木188-1C (30cm ),3500,米,米,2019-12-04 02:47:16
,木皮,27#天然白木(7.5cm ),10524,米,米,2019-12-04 02:46:38
,木皮,4#黑杏AE 03S (30cm ),1042,米,米,2019-12-04 02:46:07
,木皮,4#黑杏AE 03S (8cm ),3000,米,米,2019-12-04 02:45:06
,木皮,10黑檀2427S (5.5cm ),410,米,米,2019-12-04 02:43:30
,木皮,10黑檀2427S (8cm ),2980,米,米,2019-12-04 02:43:04
,铝合金,320-喷砂拉丝亚黑（6.2米）,30,根,支,2019-12-04 01:06:36
,铝合金,508-喷砂拉丝亚黑（6.2米）,110,根,支,2019-11-30 09:06:33
,型材,23*30*3020,775,根,支,2019-11-30 09:06:05
,型材,LF02-30*50-3.06米,750,根,支,2019-11-30 00:41:01
,方料,21*30*3.03米,3580,根,支,2019-11-29 00:12:26
,方料,19*35-3.02米,5635,根,支,2019-11-29 00:10:48
