Name,Material,Spec,Quantity,Unit,Remarks,Time
,纸箱,小纸箱（硬）3300*160*110,14,个,,2020-04-12 10:31:49
,方料,21*35.5-3.02米,3042,根,,2020-04-12 10:30:01
,纸箱,大纸箱3300*210*170,14,个,,2020-04-12 10:25:09
,型材,PF01-18*33-3.02米,55,根,,2020-04-12 10:24:46
,型材,PF31-20*22-9U-3.02米,33,根,,2020-04-12 10:24:22
,木皮,27#天然白木(7.5cm ),279,米,,2020-04-12 10:22:57
,木皮,20#黑木(14cm ),335,米,,2020-04-12 10:21:50
,纸箱,大纸箱3300*210*170,1,个,,2020-04-12 10:21:18
,纸箱,小纸箱（硬）3300*160*110,1,个,,2020-04-12 10:20:51
,型材,LF03-30*35（7）-3.02米,45,根,,2020-04-12 10:20:06
,铝合金,350-喷砂拉丝亚黑（3.05米）,40,根,,2020-04-12 10:19:15
,铝合金,350-黑砂纹（3.07米）,3,根,,2020-04-07 14:46:13
,铝合金,350-喷砂拉丝亚黑（3.05米）,12,根,,2020-04-07 14:45:24
,铝合金,350-铬化（3.07米）,30,根,,2020-04-07 14:44:51
,铝合金,350-喷砂拉丝亚黑（3.05米）,10,根,,2020-04-07 14:44:21
,铝合金,350-喷砂三酸拉丝玫瑰金（3.05米）,3,根,,2020-04-07 14:43:54
,铝合金,508-喷砂三酸拉丝亮金（3.05米）,2,根,,2020-04-07 14:43:27
,铝合金,508-喷砂拉丝亚黑（3.05米）,2,根,,2020-04-07 14:42:55
,铝合金,508-白砂纹（3.07米）,2,根,,2020-04-07 14:42:25
,型材,PF23-18（宽）*40（高）-3.02米,111,根,,2020-04-07 14:41:59
,型材,PF06-28*33-3.02米,91,根,,2020-04-07 14:41:17
,型材,PF01-18*33-3.02米,220,根,,2020-04-07 14:41:02
,纸箱,大纸箱3300*210*170,9,个,,2020-04-07 14:40:18
,纸箱,小纸箱（硬）3300*160*110,5,个,,2020-04-07 14:39:51
